item,itemdescr,areacity,total_semanas,semanas_con_ventas,porcentaje_semanas_con_ventas,max_semanas_consecutivas,ventanas_12semanas_validas,media_ventas,desv_estandar,coef_variacion
4525,ZHUMIR SECO SUAVE 350CCX24 NG,LOJA,200,200,100.0,200,189,561.61,166.86698551322655,0.2971225325639261
4525,ZHUMIR SECO SUAVE 350CCX24 NG,CUENCA,200,200,100.0,200,189,1094.94,267.7756812658441,0.24455740156158703
4520,SWITCH MARACUYA 350CCX12 NG,STO. DOMINGO,200,200,100.0,200,189,99.945,61.803074967002125,0.618370853639523
4520,SWITCH MARACUYA 350CCX12 NG,QUITO,200,200,100.0,200,189,879.635,399.11588445100193,0.45372897218846675
4520,SWITCH MARACUYA 350CCX12 NG,CUENCA,200,200,100.0,200,189,385.115,203.0531078264747,0.5272531784700016
4520,SWITCH MARACUYA 350CCX12 NG,GUAYAQUIL,200,200,100.0,200,189,221.535,97.89004586985344,0.4418716946299837
4516,SWITCH BONGO BONGO X6 NG,AZOGUES,200,200,100.0,200,189,1512.76,898.2102877416986,0.5937559743394184
4509,ZHUMIR DURAZNO CAM 350CCX24 NG,QUITO,200,200,100.0,200,189,3163.06,1145.3876420903389,0.36211378920739373
3569,CUNINGHAM 375,QUITO,200,200,100.0,200,189,179.68,159.3981065819464,0.8871221425976535
4517,SWITCH MARACUYA X6 NG,GUAYAQUIL,200,200,100.0,200,189,8234.665,3090.3534319632827,0.37528587161266214
4509,ZHUMIR DURAZNO CAM 350CCX24 NG,LOJA,200,200,100.0,200,189,791.21,297.91834890295917,0.376535115712591
4509,ZHUMIR DURAZNO CAM 350CCX24 NG,GUAYAQUIL,200,200,100.0,200,189,191.315,144.99473487235156,0.7578848227914777
4509,ZHUMIR DURAZNO CAM 350CCX24 NG,AZOGUES,200,200,100.0,200,189,79.19,45.92066459869598,0.5798795883153931
4509,ZHUMIR DURAZNO CAM 350CCX24 NG,CUENCA,200,200,100.0,200,189,324.92,131.88122263772848,0.4058882883101332
4483,VENETTO CEREZA 1500CCX6,GUAYAQUIL,200,200,100.0,200,189,345.0,270.7364607063092,0.7847433643661136
4508,ZHUMIR DURAZNO GR 700CCX12 NG,CUENCA,200,200,100.0,200,189,438.015,189.45325930770247,0.4325268753529045
4508,ZHUMIR DURAZNO GR 700CCX12 NG,QUITO,200,200,100.0,200,189,4230.85,1812.9116749599332,0.4284982154791432
4508,ZHUMIR DURAZNO GR 700CCX12 NG,PENINSULA DE SANTA ELENA,200,200,100.0,200,189,259.76,188.01911695811293,0.723818590075889
3859,AGUA VIVANT 600 16+4,CUENCA,200,200,100.0,200,189,32514.2,13777.12593231164,0.4237264312919167
3859,AGUA VIVANT 600 16+4,GUAYAQUIL,200,200,100.0,200,189,44113.365,13417.395160246493,0.30415714512475966
3856,VIVANT AGUA 1 LITRO,QUITO,200,200,100.0,200,189,10120.79,4851.240612803758,0.4793341836757563
3856,VIVANT AGUA 1 LITRO,QUEVEDO,200,200,100.0,200,189,2068.18,703.1623239831233,0.33999087312667337
4483,VENETTO CEREZA 1500CCX6,AZOGUES,200,200,100.0,200,189,151.82,86.9187086279343,0.5725115836380865
4483,VENETTO CEREZA 1500CCX6,CUENCA,200,200,100.0,200,189,223.3,120.75678450929838,0.5407827340317886
4508,ZHUMIR DURAZNO GR 700CCX12 NG,AMBATO,200,200,100.0,200,189,439.75,228.69144361324396,0.5200487631910039
4483,VENETTO CEREZA 1500CCX6,QUITO,200,200,100.0,200,189,437.045,440.1961337356098,1.0072100898891643
