Item,Ciudad,RMSE,MAE,wMAPE,Precisión
AGUA VIVANT 600 16+4,AMBATO,690.625,492.297,30.236,69.764
AGUA VIVANT 600 16+4,AZOGUES,74.907,71.104,0.791,99.209
AGUA VIVANT 600 16+4,CUENCA,1441.402,1438.451,16.034,83.966
AGUA VIVANT 600 16+4,ESMERALDAS,3963.576,3958.189,46.228,53.772
AGUA VIVANT 600 16+4,GUAYAQUIL,329.788,329.14,3.663,96.337
AGUA VIVANT 600 16+4,IBARRA,6525.854,6290.705,79.488,20.512
AGUA VIVANT 600 16+4,LOJA,1505.627,1491.305,16.868,83.132
AGUA VIVANT 600 16+4,MACHALA,1768.456,1767.772,19.673,80.327
AGUA VIVANT 600 16+4,MANTA,1101.797,691.432,8.058,91.942
AGUA VIVANT 600 16+4,MILAGRO,1972.314,1965.81,22.155,77.845
AGUA VIVANT 600 16+4,PUYO,1774.653,1739.36,19.514,80.486
AGUA VIVANT 600 16+4,QUEVEDO,970.634,970.077,10.795,89.205
AGUA VIVANT 600 16+4,QUITO,1865.937,1739.592,19.907,80.093
AGUA VIVANT 600 16+4,RIOBAMBA,1894.183,1609.376,32.824,67.176
AGUA VIVANT 6 LITROS X 4,AMBATO,174.517,131.415,22.091,77.909
AGUA VIVANT 6 LITROS X 4,AZOGUES,837.401,729.382,34.591,65.409
AGUA VIVANT 6 LITROS X 4,CUENCA,979.924,618.024,40.37,59.63
AGUA VIVANT 6 LITROS X 4,ESMERALDAS,331.855,222.572,54.148,45.852
AGUA VIVANT 6 LITROS X 4,GUAYAQUIL,630.12,507.555,18.917,81.083
AGUA VIVANT 6 LITROS X 4,IBARRA,572.004,430.066,55.154,44.846
AGUA VIVANT 6 LITROS X 4,LOJA,335.34,277.254,32.329,67.671
AGUA VIVANT 6 LITROS X 4,MACHALA,203.782,170.639,27.247,72.753
AGUA VIVANT 6 LITROS X 4,MILAGRO,60.91,45.309,25.37,74.63
AGUA VIVANT 6 LITROS X 4,QUEVEDO,169.73,129.684,25.165,74.835
AGUA VIVANT 6 LITROS X 4,QUITO,2072.062,1990.754,23.204,76.796
AGUA VIVANT 6 LITROS X 4,RIOBAMBA,174.705,145.363,23.068,76.932
CUNINGHAM 375,AZOGUES,19.391,15.273,44.969,55.031
CUNINGHAM 375,CUENCA,71.98,51.263,27.969,72.031
CUNINGHAM 375,GUAYAQUIL,23.448,17.58,87.12,12.88
CUNINGHAM 375,MACHALA,11.433,9.125,82.022,17.978
CUNINGHAM 375,QUITO,111.481,83.105,49.278,50.722
CUNINGHAM 375,RIOBAMBA,14.524,9.212,72.563,27.437
FLOYD AGUA TONICA 1500CC X 6,AMBATO,25.917,22.565,102.196,-2.196
FLOYD AGUA TONICA 1500CC X 6,AZOGUES,13.614,9.926,76.351,23.649
FLOYD AGUA TONICA 1500CC X 6,CUENCA,71.137,47.176,44.536,55.464
FLOYD AGUA TONICA 1500CC X 6,GUAYAQUIL,84.405,61.447,33.63,66.37
FLOYD AGUA TONICA 1500CC X 6,IBARRA,57.334,39.351,73.226,26.774
FLOYD AGUA TONICA 1500CC X 6,LOJA,54.411,45.552,97.304,2.696
FLOYD AGUA TONICA 1500CC X 6,MILAGRO,50.498,35.293,61.315,38.685
FLOYD AGUA TONICA 1500CC X 6,QUITO,297.474,191.383,31.774,68.226
FLOYD AGUA TONICA 1500CC X 6,RIOBAMBA,46.88,34.586,75.858,24.142
LIOVA GIN 750CC,CUENCA,14.396,6.04,75.124,24.876
LIOVA VODKA 750CCX6,AZOGUES,9.186,8.032,87.095,12.905
LIOVA VODKA 750CCX6,CUENCA,34.103,31.029,100.095,-0.095
LIOVA VODKA 750CCX6,GUAYAQUIL,118.054,74.261,69.307,30.693
LIOVA VODKA 750CCX6,LOJA,8.443,5.792,74.332,25.668
LIOVA VODKA 750CCX6,MACHALA,3.394,2.16,51.923,48.077
LIOVA VODKA 750CCX6,QUITO,40.904,31.504,53.871,46.129
NICETEA 1250CC X6,AMBATO,137.094,132.055,86.492,13.508
NICETEA 1250CC X6,AZOGUES,46.916,36.381,18.934,81.066
NICETEA 1250CC X6,CUENCA,71.479,58.353,28.415,71.585
NICETEA 1250CC X6,GUAYAQUIL,276.954,187.95,12.13,87.87
NICETEA 1250CC X6,IBARRA,495.431,294.468,55.669,44.331
NICETEA 1250CC X6,LOJA,51.152,43.99,63.819,36.181
NICETEA 1250CC X6,MACHALA,290.602,257.844,76.756,23.244
NICETEA 1250CC X6,MILAGRO,38.312,32.256,33.242,66.758
NICETEA 1250CC X6,QUEVEDO,45.186,36.032,24.027,75.973
NICETEA 1250CC X6,QUITO,656.506,536.527,23.474,76.526
NICETEA 1250CC X6,RIOBAMBA,68.943,51.846,16.914,83.086
NICETEA 450CCX24,AMBATO,317.033,312.682,150.976,-50.976
NICETEA 450CCX24,AZOGUES,204.145,176.236,25.817,74.183
NICETEA 450CCX24,CUENCA,518.172,410.779,27.678,72.322
NICETEA 450CCX24,GUAYAQUIL,367.0,269.392,15.287,84.713
NICETEA 450CCX24,IBARRA,956.003,595.824,53.182,46.818
NICETEA 450CCX24,LOJA,162.781,145.442,69.388,30.612
NICETEA 450CCX24,MACHALA,307.525,272.452,59.96,40.04
NICETEA 450CCX24,MILAGRO,87.589,71.323,26.896,73.104
NICETEA 450CCX24,QUEVEDO,150.862,110.413,28.947,71.053
NICETEA 450CCX24,QUITO,1014.008,767.39,20.31,79.69
NICETEA 450CCX24,RIOBAMBA,180.095,139.499,30.338,69.662
RON RONERO 375CCX24,AZOGUES,22.334,20.179,79.245,20.755
RON RONERO 375CCX24,CUENCA,144.052,105.408,22.745,77.255
RON RONERO 375CCX24,GUAYAQUIL,8.671,5.5,73.333,26.667
RON RONERO 375CCX24,MACHALA,14.898,8.833,78.386,21.614
RON RONERO 375CCX24,QUITO,196.004,116.239,84.56,15.44
RON RONERO 750CCX12,AZOGUES,20.398,18.7,71.53,28.47
RON RONERO 750CCX12,CUENCA,112.779,89.635,22.854,77.146
RON RONERO 750CCX12,GUAYAQUIL,22.018,19.549,103.084,-3.084
RON RONERO 750CCX12,LOJA,10.209,9.316,105.642,-5.642
RON RONERO 750CCX12,MACHALA,14.054,12.267,95.727,4.273
RON RONERO 750CCX12,QUITO,636.721,394.851,75.798,24.202
SWITCH BONGO 350CCX12 NG,AMBATO,169.502,152.699,84.867,15.133
SWITCH BONGO 350CCX12 NG,AZOGUES,71.75,57.018,36.12,63.88
SWITCH BONGO 350CCX12 NG,CUENCA,178.448,138.271,13.835,86.165
SWITCH BONGO 350CCX12 NG,GUAYAQUIL,58.573,46.803,28.52,71.48
SWITCH BONGO 350CCX12 NG,IBARRA,106.021,79.976,21.471,78.529
SWITCH BONGO 350CCX12 NG,LOJA,77.551,71.082,85.565,14.435
SWITCH BONGO 350CCX12 NG,MACHALA,19.607,16.797,90.16,9.84
SWITCH BONGO 350CCX12 NG,MILAGRO,26.537,23.522,92.164,7.836
SWITCH BONGO 350CCX12 NG,QUEVEDO,18.788,14.915,55.635,44.365
SWITCH BONGO 350CCX12 NG,QUITO,300.074,236.818,20.762,79.238
SWITCH BONGO 350CCX12 NG,RIOBAMBA,134.634,101.816,30.694,69.306
SWITCH BONGO BONGO X6 NG,AMBATO,4093.333,4018.948,146.838,-46.838
SWITCH BONGO BONGO X6 NG,AZOGUES,436.233,368.484,54.463,45.537
SWITCH BONGO BONGO X6 NG,CUENCA,1726.979,1587.879,57.25,42.75
SWITCH BONGO BONGO X6 NG,ESMERALDAS,477.47,314.316,123.242,-23.242
SWITCH BONGO BONGO X6 NG,GUAYAQUIL,2861.365,2829.204,32.192,67.808
SWITCH BONGO BONGO X6 NG,IBARRA,1748.194,1427.903,44.064,55.936
SWITCH BONGO BONGO X6 NG,LOJA,814.087,778.085,106.853,-6.853
SWITCH BONGO BONGO X6 NG,MACHALA,303.221,250.919,27.775,72.225
SWITCH BONGO BONGO X6 NG,MILAGRO,1090.71,789.781,39.099,60.901
SWITCH BONGO BONGO X6 NG,QUEVEDO,1027.698,830.281,38.519,61.481
SWITCH BONGO BONGO X6 NG,QUITO,3323.061,3302.603,37.025,62.975
SWITCH BONGO BONGO X6 NG,RIOBAMBA,1447.862,1276.026,49.637,50.363
SWITCH MARACUYA 350CCX12 NG,AMBATO,170.762,163.649,192.125,-92.125
SWITCH MARACUYA 350CCX12 NG,AZOGUES,54.369,45.594,36.341,63.659
SWITCH MARACUYA 350CCX12 NG,CUENCA,86.936,70.665,23.15,76.85
SWITCH MARACUYA 350CCX12 NG,GUAYAQUIL,60.143,50.437,29.8,70.2
SWITCH MARACUYA 350CCX12 NG,IBARRA,79.527,74.864,117.374,-17.374
SWITCH MARACUYA 350CCX12 NG,LOJA,31.576,28.396,71.117,28.883
SWITCH MARACUYA 350CCX12 NG,MACHALA,31.717,27.674,93.583,6.417
SWITCH MARACUYA 350CCX12 NG,MILAGRO,21.641,18.245,81.451,18.549
SWITCH MARACUYA 350CCX12 NG,QUEVEDO,15.859,13.631,62.484,37.516
SWITCH MARACUYA 350CCX12 NG,QUITO,505.987,485.331,96.064,3.936
SWITCH MARACUYA 350CCX12 NG,RIOBAMBA,83.58,70.255,41.553,58.447
SWITCH MARACUYA X6 NG,AMBATO,1358.428,1332.673,205.085,-105.085
SWITCH MARACUYA X6 NG,AZOGUES,192.463,174.656,67.715,32.285
SWITCH MARACUYA X6 NG,CUENCA,333.482,292.068,55.612,44.388
SWITCH MARACUYA X6 NG,ESMERALDAS,425.494,252.318,107.952,-7.952
SWITCH MARACUYA X6 NG,GUAYAQUIL,1861.855,1624.743,22.775,77.225
SWITCH MARACUYA X6 NG,IBARRA,351.877,234.47,62.57,37.43
SWITCH MARACUYA X6 NG,LOJA,236.28,210.148,67.66,32.34
SWITCH MARACUYA X6 NG,MACHALA,585.018,515.232,60.423,39.577
SWITCH MARACUYA X6 NG,MILAGRO,627.308,560.497,45.942,54.058
SWITCH MARACUYA X6 NG,QUEVEDO,548.806,416.75,27.748,72.252
SWITCH MARACUYA X6 NG,QUITO,1509.754,1179.627,32.896,67.104
SWITCH MARACUYA X6 NG,RIOBAMBA,525.168,496.427,111.187,-11.187
